Frame,BoxID,Translation,Roll,Pitch,Yaw
150,1,0.00,-1.00,1.22,-9.51
151,0,0.00,-1.14,-20.05,22.14
151,1,0.50,-1.02,1.24,-9.72
152,0,0.00,-1.14,-20.05,22.14
152,1,0.00,-1.02,1.24,-9.72
153,0,0.00,-1.14,-20.05,22.14
153,1,0.00,-1.02,1.24,-9.72
154,0,0.95,1.03,-20.83,22.07
154,1,0.27,1.19,1.45,-10.56
155,0,0.87,3.61,-17.92,22.76
155,1,0.50,3.36,1.56,-9.94
156,0,0.60,6.11,-17.05,22.38
156,1,0.38,5.21,0.89,-10.68
157,0,0.42,8.89,-17.81,21.36
157,1,0.22,8.03,2.84,-11.10
158,0,0.77,11.20,-15.06,21.20
158,1,0.47,10.23,1.65,-9.72
159,0,0.43,13.34,-12.81,21.78
159,1,0.25,12.54,2.73,-10.08
160,0,0.20,16.44,-13.69,20.96
160,1,0.01,14.64,2.83,-10.20
161,0,0.56,18.72,-12.16,21.06
161,1,0.20,16.95,3.69,-10.21
162,0,0.60,21.03,-9.80,20.00
162,1,0.52,18.92,2.03,-10.49
163,0,0.46,23.87,-10.25,20.73
163,1,0.18,21.10,1.48,-10.74
164,0,0.01,26.36,-9.46,19.21
164,1,0.51,23.14,2.88,-12.47
165,0,0.20,28.72,-8.38,18.09
165,1,0.52,25.71,1.81,-10.86
166,0,0.49,31.16,-6.48,18.99
166,1,0.38,28.49,4.48,-11.33
167,0,0.69,33.45,-6.47,14.71
167,1,0.36,30.40,2.98,-11.31
168,0,0.53,36.13,-6.88,13.07
168,1,0.32,32.82,4.15,-11.89
169,0,0.64,38.67,-6.75,15.09
169,1,0.32,34.79,3.52,-11.85
170,0,0.66,41.29,-9.61,12.80
170,1,0.34,36.90,2.27,-12.31
171,0,0.58,43.52,-6.31,9.65
171,1,0.01,39.27,2.56,-12.59
172,0,0.50,46.08,-6.58,9.54
172,1,0.88,42.11,4.69,-11.30
173,0,0.61,48.66,-9.03,10.10
173,1,0.38,44.23,4.47,-12.94
174,0,0.39,50.88,-7.17,7.81
174,1,0.75,45.95,3.05,-12.48
175,0,0.23,53.67,-7.75,9.76
175,1,1.03,49.03,4.01,-10.69
176,0,1.05,55.94,-8.26,10.28
176,1,1.98,50.21,3.35,-15.76
177,0,1.05,58.35,-7.61,8.29
177,1,1.01,55.17,6.15,-14.01
178,0,0.39,60.43,-8.37,6.26
178,1,0.76,57.13,4.45,-13.88
179,0,0.49,64.86,-6.50,8.58
179,1,0.82,59.51,5.44,-15.11
180,0,0.50,67.24,-6.77,8.43
180,1,0.62,62.03,4.30,-13.76
181,0,0.18,69.58,-6.17,7.91
181,1,0.20,64.27,4.27,-14.51
182,0,0.62,71.64,-7.26,6.27
182,1,1.00,72.39,5.79,18.96
183,0,0.82,74.03,-6.38,6.32
183,1,0.33,68.75,5.01,-16.51
184,0,0.80,76.38,-7.86,7.87
184,1,0.51,77.00,4.74,18.22
185,0,0.42,78.63,-6.91,5.81
185,1,0.35,79.12,5.42,18.16
186,0,0.60,81.11,-8.51,5.08
186,1,0.22,81.34,4.85,17.78
187,0,0.62,83.20,-8.61,5.69
187,1,0.23,78.12,3.60,-16.68
188,0,0.56,85.71,-5.54,4.46
188,1,0.50,85.84,4.20,17.30
189,0,0.02,88.12,-5.86,4.49
189,1,0.58,83.40,4.29,-16.54
190,0,0.56,90.61,-6.06,5.60
190,1,0.26,85.67,3.74,-17.07
191,0,0.50,92.36,-7.56,4.10
191,1,0.43,92.15,3.86,16.14
192,0,0.00,94.84,-7.47,4.39
192,1,0.02,90.27,3.71,-19.56
193,0,0.30,96.90,-7.05,3.39
193,1,0.46,96.72,3.62,15.97
194,0,1.08,99.50,-6.90,4.54
194,1,0.51,94.98,2.80,-20.16
195,0,0.76,101.67,-7.49,3.13
195,1,0.70,101.20,2.86,15.78
196,0,0.64,103.53,-8.20,3.82
196,1,0.24,100.12,2.67,-19.12
197,0,0.56,106.06,-7.89,2.58
197,1,0.31,105.64,2.19,15.42
198,0,0.84,108.21,-7.70,3.99
198,1,0.50,107.69,1.91,15.06
199,0,0.59,110.35,-8.59,2.20
199,1,0.50,109.99,1.63,15.16
200,0,0.42,112.86,-7.11,2.00
200,1,0.32,109.68,0.79,-21.64
201,0,0.71,115.08,-8.23,1.97
201,1,0.32,112.67,1.08,-20.60
202,0,0.34,116.92,-8.92,1.47
202,1,0.00,116.41,0.84,14.62
203,0,0.39,119.44,-8.10,0.46
203,1,0.13,117.69,0.66,-22.42
204,0,0.27,123.63,-8.41,2.47
204,1,0.37,120.35,0.82,-21.38
205,0,0.92,125.45,-9.58,1.81
205,1,0.30,122.95,0.00,-21.37
206,0,0.79,127.94,-8.42,2.84
206,1,0.50,126.81,-2.07,14.88
207,0,0.76,129.82,-9.95,1.03
207,1,0.88,128.63,-0.79,14.33
208,0,0.74,132.16,-9.30,1.66
208,1,0.50,130.99,-1.39,13.78
209,0,0.01,134.38,-8.89,1.77
209,1,0.60,134.59,-2.22,-21.66
210,0,0.57,136.72,-8.50,1.47
210,1,0.73,137.87,-1.36,-21.48
211,0,0.57,138.74,-9.61,0.80
211,1,0.36,139.98,-2.30,-21.78
212,0,0.67,140.74,-10.59,0.24
212,1,0.34,139.60,-1.84,13.85
213,0,0.73,143.26,-9.57,0.11
213,1,0.01,145.37,-2.41,-21.51
214,0,0.58,145.71,-10.26,-1.45
214,1,0.16,147.82,-3.27,-21.24
215,0,0.60,147.62,-9.17,-0.09
215,1,0.50,150.24,-3.87,-21.15
216,0,0.18,150.10,-9.19,-0.40
216,1,0.54,153.01,-4.03,-20.50
217,0,0.20,152.53,-9.25,-1.16
217,1,0.59,154.90,-5.35,-21.01
218,0,0.01,154.61,-9.91,-1.47
218,1,0.50,158.12,-4.66,-20.26
219,0,0.21,156.54,-10.52,-1.84
219,1,0.50,160.06,-6.08,-20.96
220,0,0.75,158.44,-10.85,-1.35
220,1,0.21,162.58,-6.40,-21.26
221,0,0.62,160.90,-9.89,-1.54
221,1,0.21,165.03,-7.36,-21.20
222,0,0.34,162.88,-11.12,-1.52
222,1,0.10,168.13,-5.87,-20.56
223,0,0.79,165.96,-11.64,-3.91
223,1,0.63,170.45,-6.65,-21.00
224,0,0.65,167.66,-10.78,-1.92
224,1,0.73,172.29,-8.68,-18.92
225,0,0.12,169.52,-12.36,-2.78
225,1,0.49,175.43,-6.45,-19.52
226,0,0.97,172.44,-11.16,-3.54
226,1,0.93,177.26,-8.66,-17.77
227,0,0.43,174.88,-11.88,-4.91
227,1,0.77,179.74,-9.08,-18.98
228,0,0.62,177.19,-10.72,-4.30
228,1,0.54,-177.54,-8.68,-18.27
229,0,0.52,179.35,-11.91,-4.76
229,1,0.00,-175.07,-8.55,-18.53
230,0,0.89,-178.72,-12.52,-4.91
230,1,0.00,-172.53,-8.94,-18.16
231,0,0.89,-175.82,-11.78,-5.54
231,1,0.87,-170.41,-8.39,-15.84
232,0,0.33,-173.80,-12.38,-5.68
232,1,0.43,-168.06,-10.62,-18.04
233,0,0.52,-172.69,-14.65,-4.78
233,1,0.37,-165.58,-8.78,-16.67
234,0,0.15,-169.15,-14.26,-7.03
234,1,0.25,-163.41,-10.77,-16.75
235,0,0.38,-166.76,-13.77,-7.08
235,1,0.44,-160.75,-10.34,-15.74
236,0,0.52,-164.44,-14.04,-7.15
236,1,0.27,-158.36,-10.61,-16.28
237,0,0.31,-162.16,-15.18,-7.32
237,1,0.61,-156.02,-9.06,-15.01
238,0,0.32,-159.90,-15.77,-7.48
238,1,0.53,-153.79,-10.88,-15.26
239,0,1.07,-156.87,-15.94,-8.76
239,1,0.21,-160.87,-9.86,14.99
240,0,0.73,-155.06,-16.90,-7.49
240,1,0.35,-158.70,-9.80,15.75
241,0,0.33,-152.53,-17.64,-8.36
241,1,0.23,-156.66,-9.85,16.32
242,0,0.49,-150.50,-19.03,-8.62
242,1,0.60,-154.31,-11.09,16.90
243,0,0.38,-147.36,-18.67,-9.09
243,1,0.30,-152.15,-11.44,16.78
244,0,0.49,-145.27,-18.89,-8.20
244,1,0.27,-150.00,-11.55,17.60
245,0,0.81,-142.46,-20.10,-9.64
245,1,0.34,-147.69,-12.16,17.30
246,0,0.59,-140.21,-20.35,-9.13
246,1,0.01,-145.36,-12.71,17.76
247,0,0.35,-138.01,-21.27,-8.62
247,1,0.69,-142.99,-12.25,17.66
248,0,0.29,-135.54,-21.62,-8.46
248,1,0.35,-140.81,-12.20,18.48
249,0,0.02,-133.02,-22.36,-8.31
249,1,0.37,-138.59,-13.02,18.79
250,0,0.77,-130.51,-23.64,-9.81
250,1,0.40,-136.45,-12.85,19.47
251,0,0.18,-128.68,-24.82,-8.34
251,1,0.90,-134.10,-13.94,18.82
252,0,1.08,-125.26,-24.44,-8.50
252,1,0.41,-130.19,-14.09,20.11
253,0,0.92,-123.65,-25.89,-7.98
253,1,0.34,-128.03,-14.30,20.67
254,0,0.16,-121.03,-26.54,-7.55
254,1,0.19,-125.68,-14.43,21.18
255,0,0.17,-117.14,-26.80,-6.13
255,1,0.16,-123.58,-14.44,21.88
256,0,0.53,-114.79,-27.05,-5.74
256,1,0.70,-121.08,-14.64,22.54
257,0,0.69,-112.53,-27.59,-5.64
257,1,0.71,-118.99,-14.93,22.69
258,0,0.69,-109.43,-27.95,-5.48
258,1,0.21,-116.56,-14.94,23.14
259,0,0.38,-107.74,-29.30,-4.80
259,1,0.45,-114.08,-15.34,23.56
260,0,0.56,-105.27,-28.93,-4.14
260,1,0.21,-112.07,-15.04,23.94
261,0,0.25,-103.14,-30.32,-3.39
261,1,0.27,-109.73,-14.97,24.61
262,0,0.55,-100.24,-30.19,-3.20
262,1,0.31,-107.20,-14.68,25.09
263,0,0.80,-98.25,-30.46,-2.56
263,1,0.48,-105.00,-14.61,25.87
264,0,0.00,-95.95,-31.24,-2.26
264,1,0.70,-102.58,-13.97,26.18
265,0,0.99,-93.66,-30.99,-1.53
265,1,0.72,-100.02,-14.52,26.33
266,0,0.27,-91.45,-31.68,-0.78
266,1,0.56,-97.77,-14.15,27.33
267,0,0.00,-89.27,-32.00,0.33
267,1,0.43,-95.35,-14.43,27.31
268,0,0.47,-87.16,-32.00,0.76
268,1,0.01,-93.06,-14.21,27.98
269,0,0.18,-85.05,-32.98,1.29
269,1,0.77,-90.84,-13.29,28.39
270,0,0.39,-82.24,-32.79,1.77
270,1,0.59,-88.30,-13.25,28.29
271,0,0.26,-79.64,-32.51,2.31
271,1,0.24,-85.63,-12.45,29.18
272,0,0.59,-78.26,-33.74,3.31
272,1,0.51,-83.18,-12.34,29.32
273,0,0.57,-75.41,-33.45,3.55
273,1,0.21,-80.78,-12.24,29.92
274,0,0.65,-73.54,-33.90,4.57
274,1,0.22,-78.37,-11.85,29.99
275,0,0.66,-70.93,-33.21,4.59
275,1,0.33,-75.97,-11.37,30.13
276,0,0.63,-68.51,-33.54,5.13
276,1,0.23,-73.39,-10.99,30.73
277,0,0.79,-66.68,-33.95,6.45
277,1,0.52,-70.96,-10.22,31.64
278,0,0.41,-64.04,-33.40,7.04
278,1,0.44,-68.37,-10.20,31.16
279,0,0.27,-60.91,-33.70,9.84
279,1,0.20,-65.97,-9.12,31.71
280,0,0.18,-58.90,-33.79,10.28
280,1,0.54,-63.21,-9.19,32.22
281,0,0.91,-56.77,-33.97,10.77
281,1,0.71,-60.55,-8.69,32.02
282,0,0.59,-53.82,-33.73,11.51
282,1,0.71,-55.95,-8.63,32.88
283,0,0.56,-52.10,-33.72,11.86
283,1,0.68,-53.27,-7.62,32.39
284,0,0.17,-49.48,-33.38,12.62
284,1,0.53,-50.86,-6.88,32.91
285,0,0.78,-47.23,-32.60,13.38
285,1,0.38,-48.57,-6.37,33.10
286,0,1.15,-45.20,-33.11,14.16
286,1,0.35,-45.33,-5.96,33.13
287,0,0.57,-42.72,-32.47,14.55
287,1,0.77,-42.98,-4.91,33.13
288,0,0.66,-40.85,-31.48,15.96
288,1,0.76,-40.48,-4.96,33.48
289,0,0.64,-37.85,-31.06,15.76
289,1,0.68,-37.58,-4.41,32.92
290,0,0.78,-35.93,-30.74,16.88
290,1,0.33,-35.32,-3.54,32.89
291,0,0.56,-33.41,-29.77,16.92
291,1,1.18,-32.51,-2.89,33.19
292,0,0.18,-31.36,-30.09,17.80
292,1,0.33,-30.17,-2.23,33.17
293,0,0.18,-28.81,-28.77,18.23
293,1,0.85,-27.38,-1.35,32.90
294,0,0.20,-26.62,-28.58,18.50
294,1,0.67,-24.80,-1.37,32.87
295,0,0.68,-24.62,-28.05,19.65
295,1,0.28,-22.12,-0.42,32.87
296,0,0.39,-21.96,-26.70,19.81
296,1,0.20,-19.84,0.47,32.44
297,0,0.29,-19.72,-26.66,20.44
297,1,0.49,-17.23,0.79,32.16
298,0,0.24,-16.92,-25.59,20.10
298,1,0.50,-14.46,1.46,32.38
299,0,0.44,-14.31,-24.35,20.78
299,1,0.69,-12.95,1.80,-9.78
300,0,0.56,-12.33,-23.58,21.98
300,1,0.21,-11.17,-0.09,-9.58
301,0,0.36,-9.44,-23.82,20.87
301,1,0.12,-8.63,2.26,-10.36
302,0,0.97,-7.14,-22.42,21.82
302,1,0.68,-6.66,0.87,-9.86
303,0,0.23,-4.81,-21.21,21.83
303,1,1.00,-4.25,0.83,-9.61
304,0,0.76,-2.35,-20.44,21.70
304,1,0.00,-2.24,1.26,-10.12
305,0,0.59,-1.14,-20.05,22.14
305,1,0.00,-1.02,1.24,-9.72
